exp4_4_2,Number of Total Clusters
1109
Area of Cluster1,0.0
Area of Cluster2,0.0
Area of Cluster3,0.0
Area of Cluster4,0.0
Area of Cluster5,0.0
Area of Cluster6,0.0
Area of Cluster7,0.0
Area of Cluster8,0.0
Area of Cluster9,0.0
Area of Cluster10,0.0
Area of Cluster11,0.0
Area of Cluster12,0.0
Area of Cluster13,0.0
Area of Cluster14,0.0
Area of Cluster15,0.0
Area of Cluster16,0.0
Area of Cluster17,0.0
Area of Cluster18,0.0
Area of Cluster19,0.0
Area of Cluster20,0.0
Area of Cluster21,0.0
Area of Cluster22,0.0
Area of Cluster23,0.0
Area of Cluster24,0.0
Area of Cluster25,0.0
Area of Cluster26,0.0
Area of Cluster27,0.0
Area of Cluster28,0.0
Area of Cluster29,0.0
Area of Cluster30,0.0
Area of Cluster31,0.0
Area of Cluster32,0.0
Area of Cluster33,0.0
Area of Cluster34,0.0
Area of Cluster35,0.0
Area of Cluster36,0.0
Area of Cluster37,0.0
Area of Cluster38,0.0
Area of Cluster39,0.0
Area of Cluster40,0.0
Area of Cluster41,0.0
Area of Cluster42,0.0
Area of Cluster43,0.0
Area of Cluster44,0.0
Area of Cluster45,0.0
Area of Cluster46,0.0
Area of Cluster47,0.0
Area of Cluster48,0.0
Area of Cluster49,0.0
Area of Cluster50,0.0
Area of Cluster51,0.0
Area of Cluster52,0.0
Area of Cluster53,0.0
Area of Cluster54,0.0
Area of Cluster55,0.0
Area of Cluster56,0.0
Area of Cluster57,0.0
Area of Cluster58,0.0
Area of Cluster59,0.0
Area of Cluster60,0.0
Area of Cluster61,0.0
Area of Cluster62,0.0
Area of Cluster63,0.0
Area of Cluster64,0.0
Area of Cluster65,0.0
Area of Cluster66,0.0
Area of Cluster67,0.0
Area of Cluster68,0.0
Area of Cluster69,0.0
Area of Cluster70,0.0
Area of Cluster71,0.0
Area of Cluster72,0.0
Area of Cluster73,0.0
Area of Cluster74,0.0
Area of Cluster75,0.0
Area of Cluster76,0.0
Area of Cluster77,0.0
Area of Cluster78,0.0
Area of Cluster79,0.0
Area of Cluster80,0.0
Area of Cluster81,0.0
Area of Cluster82,0.0
Area of Cluster83,0.0
Area of Cluster84,0.0
Area of Cluster85,0.0
Area of Cluster86,0.0
Area of Cluster87,0.0
Area of Cluster88,0.0
Area of Cluster89,0.0
Area of Cluster90,0.0
Area of Cluster91,0.0
Area of Cluster92,0.0
Area of Cluster93,0.0
Area of Cluster94,0.0
Area of Cluster95,0.0
Area of Cluster96,0.0
Area of Cluster97,0.0
Area of Cluster98,0.0
Area of Cluster99,0.0
Area of Cluster100,0.0
Area of Cluster101,0.0
Area of Cluster102,0.0
Area of Cluster103,0.0
Area of Cluster104,0.0
Area of Cluster105,0.0
Area of Cluster106,0.0
Area of Cluster107,0.0
Area of Cluster108,0.0
Area of Cluster109,0.0
Area of Cluster110,0.0
Area of Cluster111,0.0
Area of Cluster112,0.0
Area of Cluster113,0.0
Area of Cluster114,0.0
Area of Cluster115,0.0
Area of Cluster116,0.0
Area of Cluster117,0.0
Area of Cluster118,0.0
Area of Cluster119,0.0
Area of Cluster120,0.0
Area of Cluster121,0.0
Area of Cluster122,0.0
Area of Cluster123,0.0
Area of Cluster124,0.0
Area of Cluster125,0.0
Area of Cluster126,0.0
Area of Cluster127,0.0
Area of Cluster128,0.0
Area of Cluster129,0.0
Area of Cluster130,0.0
Area of Cluster131,0.0
Area of Cluster132,0.0
Area of Cluster133,0.0
Area of Cluster134,0.0
Area of Cluster135,0.0
Area of Cluster136,0.0
Area of Cluster137,0.0
Area of Cluster138,0.0
Area of Cluster139,0.0
Area of Cluster140,0.0
Area of Cluster141,0.0
Area of Cluster142,0.0
Area of Cluster143,0.0
Area of Cluster144,0.0
Area of Cluster145,0.0
Area of Cluster146,0.0
Area of Cluster147,0.0
Area of Cluster148,0.0
Area of Cluster149,0.0
Area of Cluster150,0.0
Area of Cluster151,0.0
Area of Cluster152,0.0
Area of Cluster153,0.0
Area of Cluster154,0.0
Area of Cluster155,0.0
Area of Cluster156,0.0
Area of Cluster157,0.0
Area of Cluster158,0.0
Area of Cluster159,0.0
Area of Cluster160,0.0
Area of Cluster161,0.0
Area of Cluster162,0.0
Area of Cluster163,0.0
Area of Cluster164,0.0
Area of Cluster165,0.0
Area of Cluster166,0.0
Area of Cluster167,0.0
Area of Cluster168,0.0
Area of Cluster169,0.0
Area of Cluster170,0.0
Area of Cluster171,0.0
Area of Cluster172,0.0
Area of Cluster173,0.0
Area of Cluster174,0.0
Area of Cluster175,0.0
Area of Cluster176,0.0
Area of Cluster177,0.0
Area of Cluster178,0.0
Area of Cluster179,0.0
Area of Cluster180,0.0
Area of Cluster181,0.0
Area of Cluster182,0.0
Area of Cluster183,0.0
Area of Cluster184,0.0
Area of Cluster185,0.0
Area of Cluster186,0.0
Area of Cluster187,0.0
Area of Cluster188,0.0
Area of Cluster189,0.0
Area of Cluster190,0.0
Area of Cluster191,0.0
Area of Cluster192,0.0
Area of Cluster193,0.0
Area of Cluster194,0.0
Area of Cluster195,0.0
Area of Cluster196,0.0
Area of Cluster197,0.0
Area of Cluster198,0.0
Area of Cluster199,0.0
Area of Cluster200,0.0
Area of Cluster201,0.0
Area of Cluster202,0.0
Area of Cluster203,0.0
Area of Cluster204,0.0
Area of Cluster205,0.0
Area of Cluster206,0.0
Area of Cluster207,0.0
Area of Cluster208,0.0
Area of Cluster209,0.0
Area of Cluster210,0.0
Area of Cluster211,0.0
Area of Cluster212,0.0
Area of Cluster213,0.0
Area of Cluster214,0.0
Area of Cluster215,0.0
Area of Cluster216,0.0
Area of Cluster217,0.0
Area of Cluster218,0.0
Area of Cluster219,0.0
Area of Cluster220,0.0
Area of Cluster221,0.0
Area of Cluster222,0.0
Area of Cluster223,0.0
Area of Cluster224,0.0
Area of Cluster225,0.0
Area of Cluster226,0.0
Area of Cluster227,0.0
Area of Cluster228,0.0
Area of Cluster229,0.0
Area of Cluster230,0.0
Area of Cluster231,0.0
Area of Cluster232,0.0
Area of Cluster233,0.0
Area of Cluster234,0.0
Area of Cluster235,0.0
Area of Cluster236,0.0
Area of Cluster237,0.0
Area of Cluster238,0.0
Area of Cluster239,0.0
Area of Cluster240,0.0
Area of Cluster241,0.0
Area of Cluster242,0.0
Area of Cluster243,0.0
Area of Cluster244,0.0
Area of Cluster245,0.0
Area of Cluster246,0.0
Area of Cluster247,0.0
Area of Cluster248,0.0
Area of Cluster249,0.0
Area of Cluster250,0.0
Area of Cluster251,0.0
Area of Cluster252,0.0
Area of Cluster253,0.0
Area of Cluster254,0.0
Area of Cluster255,0.0
Area of Cluster256,0.0
Area of Cluster257,0.0
Area of Cluster258,0.0
Area of Cluster259,0.0
Area of Cluster260,0.0
Area of Cluster261,0.0
Area of Cluster262,0.0
Area of Cluster263,0.0
Area of Cluster264,0.0
Area of Cluster265,0.0
Area of Cluster266,0.0
Area of Cluster267,0.5
Area of Cluster268,0.5
Area of Cluster269,0.5
Area of Cluster270,0.5
Area of Cluster271,0.5
Area of Cluster272,0.5
Area of Cluster273,0.5
Area of Cluster274,0.5
Area of Cluster275,0.5
Area of Cluster276,0.5
Area of Cluster277,0.5
Area of Cluster278,0.5
Area of Cluster279,0.5
Area of Cluster280,0.5
Area of Cluster281,0.5
Area of Cluster282,0.5
Area of Cluster283,0.5
Area of Cluster284,0.5
Area of Cluster285,0.5
Area of Cluster286,0.5
Area of Cluster287,0.5
Area of Cluster288,0.5
Area of Cluster289,0.5
Area of Cluster290,0.5
Area of Cluster291,0.5
Area of Cluster292,0.5
Area of Cluster293,0.5
Area of Cluster294,0.5
Area of Cluster295,0.5
Area of Cluster296,0.5
Area of Cluster297,0.5
Area of Cluster298,0.5
Area of Cluster299,0.5
Area of Cluster300,0.5
Area of Cluster301,0.5
Area of Cluster302,0.5
Area of Cluster303,0.5
Area of Cluster304,0.5
Area of Cluster305,0.5
Area of Cluster306,0.5
Area of Cluster307,0.5
Area of Cluster308,1.0
Area of Cluster309,1.0
Area of Cluster310,1.0
Area of Cluster311,1.0
Area of Cluster312,1.0
Area of Cluster313,1.0
Area of Cluster314,1.0
Area of Cluster315,1.0
Area of Cluster316,1.0
Area of Cluster317,1.0
Area of Cluster318,1.0
Area of Cluster319,1.0
Area of Cluster320,1.0
Area of Cluster321,1.0
Area of Cluster322,1.0
Area of Cluster323,1.0
Area of Cluster324,1.0
Area of Cluster325,1.0
Area of Cluster326,1.0
Area of Cluster327,1.0
Area of Cluster328,1.0
Area of Cluster329,1.0
Area of Cluster330,1.0
Area of Cluster331,1.0
Area of Cluster332,1.0
Area of Cluster333,1.0
Area of Cluster334,1.0
Area of Cluster335,1.0
Area of Cluster336,1.0
Area of Cluster337,1.0
Area of Cluster338,1.0
Area of Cluster339,1.0
Area of Cluster340,1.0
Area of Cluster341,1.0
Area of Cluster342,1.0
Area of Cluster343,1.0
Area of Cluster344,1.0
Area of Cluster345,1.0
Area of Cluster346,1.0
Area of Cluster347,1.0
Area of Cluster348,1.0
Area of Cluster349,1.0
Area of Cluster350,1.0
Area of Cluster351,1.0
Area of Cluster352,1.5
Area of Cluster353,1.5
Area of Cluster354,1.5
Area of Cluster355,1.5
Area of Cluster356,1.5
Area of Cluster357,1.5
Area of Cluster358,1.5
Area of Cluster359,1.5
Area of Cluster360,1.5
Area of Cluster361,1.5
Area of Cluster362,1.5
Area of Cluster363,1.5
Area of Cluster364,1.5
Area of Cluster365,1.5
Area of Cluster366,1.5
Area of Cluster367,1.5
Area of Cluster368,1.5
Area of Cluster369,1.5
Area of Cluster370,1.5
Area of Cluster371,1.5
Area of Cluster372,1.5
Area of Cluster373,1.5
Area of Cluster374,1.5
Area of Cluster375,1.5
Area of Cluster376,1.5
Area of Cluster377,1.5
Area of Cluster378,1.5
Area of Cluster379,2.0
Area of Cluster380,2.0
Area of Cluster381,2.0
Area of Cluster382,2.0
Area of Cluster383,2.0
Area of Cluster384,2.0
Area of Cluster385,2.0
Area of Cluster386,2.0
Area of Cluster387,2.0
Area of Cluster388,2.0
Area of Cluster389,2.0
Area of Cluster390,2.0
Area of Cluster391,2.0
Area of Cluster392,2.0
Area of Cluster393,2.0
Area of Cluster394,2.0
Area of Cluster395,2.0
Area of Cluster396,2.0
Area of Cluster397,2.0
Area of Cluster398,2.0
Area of Cluster399,2.0
Area of Cluster400,2.0
Area of Cluster401,2.0
Area of Cluster402,2.0
Area of Cluster403,2.0
Area of Cluster404,2.0
Area of Cluster405,2.0
Area of Cluster406,2.0
Area of Cluster407,2.0
Area of Cluster408,2.0
Area of Cluster409,2.0
Area of Cluster410,2.0
Area of Cluster411,2.0
